age,gender,capital_gain,capital_loss,hours_per_week,workclass_fedGov,workclass_otherGov,workclass_private,workclass_selfEmployed,workclass_unEmployed,education_associates,education_bachelors,education_dropout,education_hs_grad,education_masters_doctorate,education_prof_school,marital_status_married,marital_status_single,occupation_blueCollar,occupation_other,occupation_professional,occupation_sales,occupation_whiteCollar,income
51,1,0,0,84,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1
22,0,0,0,40,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0
29,1,0,0,40,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0
29,1,0,0,50,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0
49,1,0,0,40,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0
20,1,0,0,40,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0
49,0,0,0,40,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0
42,1,0,0,50,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1
44,1,4386,0,45,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1
23,1,0,0,7,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0
71,1,0,0,28,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0
18,0,0,0,40,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0
51,1,7298,0,55,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1
40,1,0,0,40,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1
31,0,0,0,28,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0
43,0,0,0,42,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
38,1,0,0,60,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0
44,0,0,0,40,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0
53,1,0,1977,55,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1
43,1,0,0,40,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0
27,0,0,0,40,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0
44,0,0,0,60,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0
31,1,0,0,40,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0
41,1,0,0,40,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0
36,0,0,0,40,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0
29,0,0,0,27,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0
22,1,0,0,27,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0
36,1,0,0,40,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1
50,1,0,0,50,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0
38,0,0,0,25,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0
25,1,0,0,40,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0
39,0,0,0,35,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0
32,0,0,0,56,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0
50,1,0,0,40,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1
37,1,0,1485,70,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1
41,0,0,0,10,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1
50,1,0,0,51,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1
35,1,0,0,40,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
36,1,3908,0,40,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0
36,0,0,0,60,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1
61,1,0,0,40,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0
17,1,0,0,25,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0
32,1,0,0,60,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0
27,0,0,0,40,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0
22,0,0,0,40,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0
38,1,0,0,70,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1
28,1,0,0,50,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0
52,0,0,0,40,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
48,0,0,0,36,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0
55,1,7688,0,45,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1
45,0,0,0,50,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0
29,1,0,0,40,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0
34,1,0,0,50,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1
25,0,0,0,40,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0
30,1,0,0,55,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0
43,1,0,0,40,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0
40,1,0,0,40,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0
36,1,0,0,20,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0
26,0,0,0,35,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0
51,1,0,0,40,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1
49,0,0,0,20,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0
39,1,15024,0,99,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1
23,0,0,0,40,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0
38,0,0,0,20,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1
29,1,0,0,55,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0
28,0,0,0,40,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0
35,1,0,0,40,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0
71,1,99999,0,40,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1
32,0,0,0,60,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0
32,0,0,0,50,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0
39,0,0,0,40,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0
25,1,0,0,48,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0
40,1,0,0,46,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1
37,1,0,0,35,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0
40,0,0,0,40,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0
57,0,0,0,40,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0
31,1,0,0,40,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1
17,0,0,0,25,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0
38,1,3325,0,40,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0
41,1,14344,0,48,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1
37,1,0,0,40,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0
26,1,0,0,40,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0
73,1,0,0,28,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1
45,1,0,0,40,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0
65,1,0,0,40,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0
61,1,0,0,50,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1
28,1,0,0,38,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0
47,1,3103,0,60,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1
49,1,0,0,48,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0
50,1,0,0,45,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1
26,1,0,0,20,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0
36,1,0,0,40,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0
35,1,0,2042,40,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0
34,0,0,0,40,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0
41,0,0,0,40,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0
39,1,0,0,40,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1
35,1,0,0,40,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
18,1,0,0,23,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0
67,1,0,0,40,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
18,0,0,0,20,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0
23,0,0,0,40,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0
31,1,0,0,50,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1
25,1,0,0,40,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0
27,1,0,1651,40,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0
36,1,7298,0,50,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1
45,1,0,0,40,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1
38,1,0,0,40,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1
52,1,0,0,56,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0
42,0,0,0,50,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1
17,1,0,0,48,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0
43,0,0,0,38,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0
35,1,0,0,40,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0
19,1,0,0,40,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0
29,1,0,0,40,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0
23,1,0,0,40,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0
56,0,0,0,44,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
34,0,0,0,23,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0
42,1,0,0,40,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0
17,1,0,0,20,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0
46,1,0,0,10,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0
32,0,0,1669,45,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0
49,1,0,0,40,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1
32,0,0,0,40,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0
56,0,0,0,48,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
38,1,0,0,50,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0
36,1,0,0,40,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1
53,1,0,0,50,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1
28,0,3887,0,40,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0
40,1,0,0,50,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1
43,1,0,0,40,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0
47,1,0,0,50,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1
72,0,0,0,40,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0
25,0,0,0,38,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0
50,0,0,0,28,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0
60,0,0,2339,40,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0
28,0,0,0,40,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0
21,0,0,0,30,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0
30,0,0,0,15,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0
27,0,0,0,40,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0
37,1,0,0,40,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1
20,1,0,0,10,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0
24,1,0,0,40,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0
23,1,0,0,25,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0
24,1,0,0,40,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0
65,1,0,0,20,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0
21,1,0,0,38,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0
36,1,0,0,40,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0
41,1,0,1902,40,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1
20,0,0,0,8,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0
44,1,3137,0,50,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0
22,1,0,1602,10,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0
23,0,0,0,35,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
42,0,0,0,40,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0
55,0,0,0,40,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0
30,1,0,0,40,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0
22,1,0,0,45,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0
44,0,0,0,40,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0
37,1,0,1980,55,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0
35,1,0,0,38,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0
37,1,0,0,40,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0
22,0,0,0,40,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0
69,1,1848,0,10,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0
67,0,2009,0,40,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0
20,0,0,0,40,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0
33,1,0,0,55,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1
35,0,0,0,40,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0
46,1,0,0,40,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0
40,0,0,0,40,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0
40,1,0,0,40,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1
44,0,3137,0,30,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0
19,1,0,0,40,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0
61,1,0,0,40,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
53,1,0,0,40,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1
50,1,0,0,40,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0
23,1,0,0,40,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0
48,1,0,0,40,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1
42,0,0,0,40,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0
23,1,0,0,40,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0
30,0,0,0,35,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0
35,1,0,0,40,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0
36,0,0,0,50,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0
19,0,0,0,40,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0
21,0,0,0,55,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0
35,1,0,0,40,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0
48,0,0,0,32,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0
21,0,0,0,35,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0
18,1,0,0,40,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0
20,1,0,0,20,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0
31,1,0,0,40,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0
36,1,0,0,40,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0
63,1,0,0,38,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0
22,0,0,0,43,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0
27,1,0,0,45,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0
40,1,0,0,32,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0
29,1,0,0,48,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1
42,1,0,0,40,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0
21,1,2176,0,36,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0
34,1,0,0,30,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0
36,1,0,0,45,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0
30,1,5178,0,40,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1
28,1,0,0,40,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0
30,0,0,0,60,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0
45,1,0,0,50,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1
33,1,0,0,55,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1
49,1,0,0,45,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1
51,1,0,0,40,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0
47,1,0,0,40,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0
30,1,0,0,40,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1
28,1,0,0,42,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0
27,1,0,0,30,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0
39,0,0,0,40,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0
39,1,0,0,50,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1
34,0,0,0,30,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0
36,1,0,0,50,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0
23,1,0,0,25,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0
36,1,0,0,40,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0
37,1,0,0,30,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0
32,1,0,0,35,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0
29,0,0,0,25,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
66,1,1409,0,50,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0
24,0,0,0,40,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0
25,1,0,0,45,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0
39,1,3103,0,50,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1
44,0,0,0,55,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0
41,1,0,0,40,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1
20,1,0,0,40,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0
19,0,0,0,30,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0
61,0,0,0,40,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0
42,1,0,2002,40,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0
29,0,0,0,40,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1
26,1,0,0,50,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0
36,0,0,0,50,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0
65,1,0,0,27,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0
26,0,0,0,40,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0
30,1,0,1876,45,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0
37,0,0,0,40,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1
57,1,0,0,40,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1
50,1,0,0,48,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1
25,1,0,0,40,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0
44,1,0,0,45,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0
67,1,0,0,20,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0
28,0,0,0,50,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0
22,1,0,0,40,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0
24,1,0,0,40,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0
31,1,0,1977,70,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1
29,1,0,0,30,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0
57,1,0,0,40,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1
51,0,0,0,70,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1
63,1,0,0,50,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0
38,1,0,0,40,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0
43,1,0,0,40,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1
38,1,0,0,40,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1
33,0,0,0,99,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0
39,1,0,0,50,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1
20,1,0,0,40,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0
37,0,0,0,60,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0
31,0,0,0,36,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0
46,1,0,0,40,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0
21,1,0,0,12,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0
46,1,0,0,77,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0
29,0,7688,0,45,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1
23,0,0,0,40,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0
32,1,0,0,40,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0
60,1,4386,0,84,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1
39,1,0,0,56,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0
59,0,0,0,40,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
23,0,0,0,70,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0
38,0,0,0,36,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1
34,0,0,0,40,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0
22,0,0,0,25,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0
36,1,0,0,75,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0
21,1,0,0,40,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0
63,0,0,0,40,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0
65,1,0,0,20,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0
52,1,0,1977,45,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1
25,1,0,0,45,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0
63,1,0,0,40,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1
57,0,0,0,40,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0
18,0,0,0,20,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0
45,0,0,0,40,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0
45,1,0,0,40,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0
25,1,0,1719,16,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0
73,1,0,0,15,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0
36,1,0,0,44,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0
49,1,0,1902,40,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1
19,1,0,0,20,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0
66,1,0,0,8,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1
